date,eur_ron
2011-06-22,4.2124
2011-06-23,4.2254
2011-06-24,4.2178
2011-06-25,4.2178
2011-06-26,4.2178
2011-06-27,4.22
2011-06-28,4.2109
2011-06-29,4.2178
2011-06-30,4.2368
2011-07-01,4.2393
2011-07-02,4.2393
2011-07-03,4.2393
2011-07-04,4.1977
2011-07-05,4.187
2011-07-06,4.2085
2011-07-07,4.1947
2011-07-08,4.2102
2011-07-09,4.2102
2011-07-10,4.2102
2011-07-11,4.2514
2011-07-12,4.2852
2011-07-13,4.275
2011-07-14,4.2712
2011-07-15,4.2657
2011-07-16,4.2657
2011-07-17,4.2657
2011-07-18,4.2655
2011-07-19,4.2523
2011-07-20,4.2408
2011-07-21,4.2365
2011-07-22,4.2412
2011-07-23,4.2412
2011-07-24,4.2412
2011-07-25,4.2567
2011-07-26,4.232
2011-07-27,4.245
2011-07-28,4.2433
2011-07-29,4.2296
2011-07-30,4.2296
2011-07-31,4.2296
2011-08-01,4.231
2011-08-02,4.237
2011-08-03,4.2245
2011-08-04,4.2317
2011-08-05,4.2375
2011-08-06,4.2375
2011-08-07,4.2375
2011-08-08,4.2435
2011-08-09,4.2635
2011-08-10,4.2912
2011-08-11,4.2994
2011-08-12,4.2794
2011-08-13,4.2794
2011-08-14,4.2794
2011-08-15,4.2699
2011-08-16,4.2761
2011-08-17,4.2475
2011-08-18,4.261
2011-08-19,4.2697
2011-08-20,4.2697
2011-08-21,4.2697
2011-08-22,4.2626
2011-08-23,4.2569
2011-08-24,4.2542
2011-08-25,4.2527
2011-08-26,4.2441
2011-08-27,4.2441
2011-08-28,4.2441
2011-08-29,4.2271
2011-08-30,4.218
2011-08-31,4.2233
2011-09-01,4.2321
2011-09-02,4.2423
2011-09-03,4.2423
2011-09-04,4.2423
2011-09-05,4.2466
2011-09-06,4.2432
2011-09-07,4.2384
2011-09-08,4.2512
2011-09-09,4.2729
2011-09-10,4.2729
2011-09-11,4.2729
2011-09-12,4.2842
2011-09-13,4.285
2011-09-14,4.3018
2011-09-15,4.2721
2011-09-16,4.2642
2011-09-17,4.2642
2011-09-18,4.2642
2011-09-19,4.2896
2011-09-20,4.2826
2011-09-21,4.2957
2011-09-22,4.3082
2011-09-23,4.2996
2011-09-24,4.2996
2011-09-25,4.2996
2011-09-26,4.3054
2011-09-27,4.3027
2011-09-28,4.3248
2011-09-29,4.3255
2011-09-30,4.3564
2011-10-01,4.3564
2011-10-02,4.3564
2011-10-03,4.3136
2011-10-04,4.3225
2011-10-05,4.317
2011-10-06,4.3163
2011-10-07,4.31
2011-10-08,4.31
2011-10-09,4.31
2011-10-10,4.3169
2011-10-11,4.3308
2011-10-12,4.3111
2011-10-13,4.325
2011-10-14,4.3353
2011-10-15,4.3353
2011-10-16,4.3353
2011-10-17,4.3436
2011-10-18,4.3588
2011-10-19,4.3352
2011-10-20,4.3286
2011-10-21,4.3307
2011-10-22,4.3307
2011-10-23,4.3307
2011-10-24,4.3233
2011-10-25,4.3248
2011-10-26,4.3377
2011-10-27,4.3258
2011-10-28,4.3184
2011-10-29,4.3184
2011-10-30,4.3184
2011-10-31,4.3391
2011-11-01,4.3498
2011-11-02,4.3465
2011-11-03,4.3509
2011-11-04,4.3628
2011-11-05,4.3628
2011-11-06,4.3628
2011-11-07,4.3522
2011-11-08,4.3559
2011-11-09,4.3559
2011-11-10,4.3494
2011-11-11,4.3438
2011-11-12,4.3438
2011-11-13,4.3438
2011-11-14,4.3668
2011-11-15,4.3541
2011-11-16,4.3657
2011-11-17,4.3657
2011-11-18,4.3651
2011-11-19,4.3651
2011-11-20,4.3651
2011-11-21,4.366
2011-11-22,4.3592
2011-11-23,4.3574
2011-11-24,4.3567
2011-11-25,4.3647
2011-11-26,4.3647
2011-11-27,4.3647
2011-11-28,4.3578
2011-11-29,4.352
2011-11-30,4.3542
2011-12-01,4.3547
2011-12-02,4.3568
2011-12-03,4.3568
2011-12-04,4.3568
2011-12-05,4.3498
2011-12-06,4.3534
2011-12-07,4.3448
2011-12-08,4.3375
2011-12-09,4.3444
2011-12-10,4.3444
2011-12-11,4.3444
2011-12-12,4.351
2011-12-13,4.3515
2011-12-14,4.345
2011-12-15,4.3411
2011-12-16,4.3327
2011-12-17,4.3327
2011-12-18,4.3327
2011-12-19,4.3087
2011-12-20,4.311
2011-12-21,4.3049
2011-12-22,4.3005
2011-12-23,4.2908
2011-12-24,4.2908
2011-12-25,4.2908
2011-12-26,4.2895
2011-12-27,4.2936
2011-12-28,4.2897
2011-12-29,4.3116
2011-12-30,4.3143
2011-12-31,4.3143
2012-01-01,4.3143
2012-01-02,4.3141
2012-01-03,4.3145
2012-01-04,4.3227
2012-01-05,4.347
2012-01-06,4.3544
2012-01-07,4.3544
2012-01-08,4.3544
2012-01-09,4.3504
2012-01-10,4.3612
2012-01-11,4.3571
2012-01-12,4.3452
2012-01-13,4.3345
2012-01-14,4.3345
2012-01-15,4.3345
2012-01-16,4.3246
2012-01-17,4.3365
2012-01-18,4.3502
2012-01-19,4.3459
2012-01-20,4.346
2012-01-21,4.346
2012-01-22,4.346
2012-01-23,4.3425
2012-01-24,4.3437
